   0.0000000e+00   0.0000000e+00
   1.2000000e+01   5.5898654e-03
   2.4000000e+01   1.8000000e-02
   3.6000000e+01   3.2425673e-02
   4.8000000e+01   5.1000000e-02
   6.0000000e+01   7.6082443e-02
   7.2000000e+01   1.0400000e-01
   8.4000000e+01   1.2899456e-01
   9.6000000e+01   1.4300000e-01
   1.0800000e+02   1.4106433e-01
   1.2000000e+02   1.3300000e-01
   1.3200000e+02   1.2962311e-01
   1.4400000e+02   1.3100000e-01
   1.5600000e+02   1.3494324e-01
   1.6800000e+02   1.4100000e-01
   1.8000000e+02   1.4860393e-01
   1.9200000e+02   1.5500000e-01
   2.0400000e+02   1.5639102e-01
   2.1600000e+02   1.4700000e-01
   2.2800000e+02   1.2333198e-01
   2.4000000e+02   9.3000000e-02
   2.5200000e+02   6.4281058e-02
   2.6400000e+02   3.7000000e-02
   2.7600000e+02   1.1668788e-02
   2.8800000e+02   0.0000000e+00
