   1.2157362e+03   4.0000000e+01
   1.0040896e+03   4.5000000e+01
   7.9264934e+02   5.0000000e+01
   6.9316879e+02   5.5000000e+01
   5.6691796e+02   6.0000000e+01
   4.4887702e+02   6.5000000e+01
   3.8342491e+02   7.0000000e+01
   3.3544408e+02   7.5000000e+01
   3.0557534e+02   8.0000000e+01
   2.6414443e+02   8.5000000e+01
   1.8898065e+02   9.0000000e+01
   2.0062964e+02   9.5000000e+01
   1.7565835e+02   1.0000000e+02
   1.3156878e+02   1.0500000e+02
   1.3001402e+02   1.1000000e+02
   8.2294317e+01   1.1500000e+02
   8.3788064e+01   1.2000000e+02
   9.7786776e+01   1.2500000e+02
   8.2410366e+01   1.3000000e+02
   8.2774621e+01   1.3500000e+02
   6.0787035e+01   1.4000000e+02
   2.3785584e+01   1.4500000e+02
   5.9356465e+01   1.5000000e+02
